WKT;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
POINT (-58.526112518066256 -34.638266694164287);1;Liniers;VIEDMA FRANCISCO;CASCO;VIEDMA FRANCISCO & CASCO;si;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo
POINT (-58.520143194533759 -34.633496924422751);2;Velez Sarsfield;JUSTO JUAN B. ;JONTE ALVAREZ;JUSTO JUAN B. & JONTE ALVAREZ;si;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo
POINT (-58.513913101165812 -34.633457821061292);3;Polideportivo Velez Sarsfield;JUSTO JUAN B.;GARCIA JUAN AGUSTIN;JUSTO JUAN B. & GARCIA JUAN AGUSTIN;si;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo
POINT (-58.506729637790961 -34.634341077095115);4;Cortina;JUSTO JUAN B.;CORTINA;JUSTO JUAN B. & CORTINA;si;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo
POINT (-58.501042098776409 -34.632207786775169);5;Av. Lope de Vega;JUSTO JUAN B.;LOPE DE VEGA;JUSTO JUAN B. & LOPE DE VEGA;si;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo
POINT (-58.49485369658003 -34.629537275777722);6;Carrasco;JUSTO JUAN B.;CARRASCO;JUSTO JUAN B. & CARRASCO;si;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo
POINT (-58.49109564625963 -34.627011038280713);7;Av. Segurola;JUSTO JUAN B.;SEGUROLA;JUSTO JUAN B. & SEGUROLA;si;34 - 99 - 166 - 172;34 - 99 - 166 - 172;Metrobus Juan B. Justo
POINT (-58.485924077445176 -34.625143829520979);8;Chivilcoy;JUSTO JUAN B.;CHIVILCOY;JUSTO JUAN B. & CHIVILCOY;si;34 - 166;34 - 166;Metrobus Juan B. Justo
POINT (-58.480817643768582 -34.62204155975661);9;Concordia;JUSTO JUAN B.;CONCORDIA;JUSTO JUAN B. & CONCORDIA;si;34 - 166;34 - 166;Metrobus Juan B. Justo
POINT (-58.476096333381605 -34.618102594928033);10;Av. Nazca;JUSTO JUAN B.;NAZCA;JUSTO JUAN B. & NAZCA;si;34 - 166;34 - 166;Metrobus Juan B. Justo
POINT (-58.472255494384328 -34.613823969987052);11;Artigas;JUSTO JUAN B.;ARTIGAS JOSE GERVASIO GRAL;JUSTO JUAN B. & ARTIGAS JOSE GERVASIO GRAL;si;34 - 166;34 - 166;Metrobus Juan B. Justo
POINT (-58.46784821579157 -34.611303822593023);12;Boyaca;JUSTO JUAN B.;BOYACA;JUSTO JUAN B. & BOYACA;si;34 - 110 - 166;34 - 110 - 166;Metrobus Juan B. Justo
POINT (-58.462704631866444 -34.607373011852246);13;Av. Donato Alvarez;JUSTO JUAN B.;ALVAREZ DONATO Tte. Gral.;JUSTO JUAN B. & ALVAREZ DONATO Tte. Gral.;si;34 - 110 - 166;34 - 110 - 166;Metrobus Juan B. Justo
POINT (-58.458473924997968 -34.604491845072424);14;Av. San Martín;JUSTO JUAN B.;SAN MARTIN AV.;JUSTO JUAN B. & SAN MARTIN AV.;si;34 - 109 - 110 - 166;34 - 109 - 110 - 166;Metrobus Juan B. Justo
POINT (-58.452052278349043 -34.600120442667283);15;Av. Honorio Pueyrredón;JUSTO JUAN B.;PUEYRREDON HONORIO DR.;JUSTO JUAN B. & PUEYRREDON HONORIO DR.;si;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo
POINT (-58.447690103827632 -34.597091409563888);16;Murillo;JUSTO JUAN B.;MURILLO;JUSTO JUAN B. & MURILLO;si;34 - 109 - 166;34 - 109 - 166;Metrobus Juan B. Justo
POINT (-58.44430015384696 -34.594764030761432);17;Av. Corrientes;JUSTO JUAN B.;CORRIENTES;JUSTO JUAN B. & CORRIENTES;si;34 - 166;34 - 166;Metrobus Juan B. Justo
